Galaxy,tau_Myr,regime,Hubble_Type,Hubble_Type_Num,xi_GL,r_core,V0,logMstar
UGC03205,4.906701860681264,Transition,Sb,2,1.2900735167575978,0.5017245474624961,225.54769635070184,10.759
UGC03546,0.026952766085699135,Transition,Sa,1,0.0100290555664104,0.0069637332973921,211.99983078362217,10.744
UGC03580,745.5319222210145,Extended (τ>0),Sa,1,99.99999999999346,6.051599607971061,202.97815019875569,10.065
UGC04325,12.485204637287827,Transition,Sm/Im,9,1.4265894908851815,0.7974643590373843,92.02457786597644,9.045
UGC04499,32.73059823737432,Transition,Sm/Im,8,2.864848397421743,1.424708831419564,75.08649451681269,8.84
UGC05253,0.06317479005490592,Transition,Sb,2,0.0161000781655919,0.0016762655245109,242.4087772767757,11.036
UGC05414,37.62889659098681,Transition,Irr,10,2.7124710644000043,1.334783577032903,68.43981669556028,8.975
UGC05716,54.54363744315725,Extended (τ>0),Sm/Im,9,4.337959698669644,1.2154923440852563,81.24603755326542,8.329
UGC05721,8.058869642205883,Transition,Sd,7,0.7648228280434278,0.3494343434244938,80.43900853893297,8.396
UGC05918,37.546111293038635,Transition,Irr,10,1.9093352914349264,0.8541673070572868,45.85453535987116,7.829
UGC06399,30.344571883248893,Transition,Sm/Im,9,3.2011798092114763,1.6931569336720325,88.88893515068145,9.045
UGC06446,24.206225291874286,Transition,Sd,7,2.261005535465019,0.83695636780033,84.81030189444306,8.629
UGC06614,13.002231504490902,Transition,Sa,1,2.7276040518806126,0.1364123251194579,208.5477157783142,11.065
UGC06628,29.33696634731697,Transition,Sm/Im,9,1.4863820320929797,0.7750816141035758,42.176672405141474,9.557
UGC06667,32.911122980332316,Transition,Sd,6,3.355548454236277,1.7175956585748555,89.00912790544315,8.78
UGC06786,1.9121227305178592,Transition,Sa,0,0.4481681758140833,0.0240073583875073,230.2915892785736,10.837
UGC06787,0.4888833911246656,Transition,Sb,2,0.1767432891060866,0.1105458760734173,241.5920908429482,10.853
UGC06818,92.24777365092892,Extended (τ>0),Sm/Im,9,7.9569249044960255,3.756317982822212,106.16319203787012,8.913
UGC06917,29.278943990649225,Transition,Sm/Im,9,3.687745671298056,1.6020621054483368,112.2436984665598,10.019
UGC06923,29.075513706261994,Transition,Irr,10,2.681422758416505,1.1755887488093224,89.32101451509367,9.142
UGC06930,28.46194882491388,Transition,Sd,7,3.5705026897706733,1.6416668756572894,108.45205325571716,9.749
UGC06973,0.6048622749474531,Transition,Sb,2,0.1114136943426275,0.0055719968171142,179.36175488062693,10.346
UGC06983,22.28231827954877,Transition,Sd,6,2.927639247066392,1.3959823508833262,109.13095341052856,9.446
UGC07089,70.17966704353799,Extended (τ>0),Sm/Im,8,6.290904140490629,2.7178121362462253,90.88967412879504,9.36
UGC07125,68.01334672751042,Extended (τ>0),Sm/Im,9,4.989910685567618,2.0262559216586578,67.05471032667404,9.222
UGC07151,16.412324775704224,Transition,Sd,6,1.503218137527495,0.7911570702559765,73.05589914851024,9.117
UGC07232,,Transition,Irr,10,,,,7.704
UGC07261,20.433615326043647,Transition,Sm/Im,8,1.6979545596541263,0.5977410617439692,77.31918504943752,9.063
UGC07323,132.9408361957825,Extended (τ>0),Sm/Im,8,12.648537373702588,4.971644217760476,161.39632564648232,9.424
UGC07399,15.335665674414688,Transition,Sm/Im,8,1.8025324507042733,0.6991942018431396,105.6651918932926,8.726
UGC07603,15.86955664749471,Transition,Sd,7,1.222643724168951,0.6460249758272738,63.24142416980061,8.262
UGC07690,5.092358812812855,Transition,Irr,10,0.5838895607511311,0.4910430301697038,58.3333333264672,8.637
UGC07866,54.06316364201243,Extended (τ>0),Irr,10,1.9798426618910343,0.7581693586854272,40.44166781112581,7.713
UGC08286,16.49463134850722,Transition,Sd,6,1.6681695175312563,0.8735897689194332,82.37156002189032,8.99
UGC08490,10.357929306346021,Transition,Sm/Im,9,0.936715832564925,0.3980126866603471,79.19233011993582,8.745
UGC08550,18.821478149470106,Transition,Sd,7,1.2260594963713436,0.5167252802275258,56.77295667200047,8.382
UGC08699,0.8263255995260036,Transition,Sb,2,0.1863099441010216,0.0748896992119241,185.4803078635146,10.711
UGC08837,57.40343070264248,Extended (τ>0),Irr,10,3.510773930729085,2.096480849486696,58.3548815586937,8.527
UGC09037,33.97638637967101,Transition,Sd,6,6.351225022511669,3.0771454017517543,154.82451867639952,10.595
UGC09133,0.02479570074140451,Transition,Sb,2,0.010100609201725,0.0069558170080552,264.1768011666132,11.47
UGC09992,,Transition,Irr,10,,,,8.138
UGC10310,25.52267911919389,Transition,Sm/Im,9,2.2700061021429474,1.227605558246277,72.80133790333295,8.995
UGC11455,18.22518383804452,Transition,Sd,6,6.379943000343007,3.364970457484006,278.64146861311053,11.266
UGC11820,119.10271928405837,Extended (τ>0),Sm/Im,9,10.623997067011617,2.6821337754350614,100.64487898511372,8.566
UGC11914,1.5138464469656416,Transition,Sb,2,0.5321821343561473,0.2460301280688492,289.2210952978682,10.975
UGC12732,111.5701432238084,Extended (τ>0),Sm/Im,9,11.560567775953825,2.961507971543689,115.84134761721148,9.114
UGCA442,36.52735382748049,Transition,Sm/Im,9,2.492969449648621,1.2485120592348586,59.56331737100688,7.828
