Galaxy,n_points,V0,xi_GL,alpha,chi2_red,rms_resid,r_core,success,note
UGC07559,7,35.13892927294966,1.519348977305432,0.9373020209152974,0.25441042590059326,0.38128386568134565,0.8018029893748101,True,
UGC07577,9,443.8591945441028,99.99999999805318,0.7940749778496063,0.1404660436015647,0.3060131191104555,47.02635739275654,True,
UGC07603,12,63.24142416980061,1.222643724168951,0.9391263888012926,1.660585660785599,1.115992493518303,0.6460249758272738,True,
UGC07608,8,73.13768762291798,2.7899005126011582,0.9467665325172596,3.90313679452465,1.5618772347972507,1.4817462060757307,True,
UGC07690,7,58.3333333264672,0.5838895607511311,3.459400766594461,4.033333345470633,1.5181442328374155,0.4910430301697038,True,
UGC07866,7,40.441667811125804,1.9798426618910343,0.6241490327297631,0.6076531753358957,0.5892625780636559,0.7581693586854272,True,
UGC08286,17,82.37156002189032,1.6681695175312565,0.9261492053932029,3.9150892933814965,1.7956032921513487,0.8735897689194332,True,
UGC08490,30,79.19233011993582,0.936715832564925,0.6999673975759276,1.6761569433931873,1.228226871980038,0.39801268666034717,True,
UGC08550,11,56.77295667200047,1.2260594963713436,0.6933624785128832,4.977094898760453,1.9025523332924887,0.5167252802275258,True,
UGC08699,41,185.4803078635146,0.18630994410102164,0.6573430360076106,71.08808187366189,8.117050874997421,0.0748896992119241,True,
UGC08837,8,58.3548815586937,3.510773930729085,1.1619992834032757,1.6536481726033583,1.0166268282300537,2.0964808494866958,True,
UGC09037,22,154.82451867639952,6.351225022511669,0.8267483443287345,26.341623283506387,4.769652371488558,3.0771454017517543,True,
UGC09133,68,264.17680116661313,0.010100609201725015,1.6060893478948857,584.2443440057286,23.631945714239652,0.006955817008055299,True,
UGC09992,5,,,,,,,False,Too few points for TDGL fit (<6).
UGC10310,7,72.80133790333295,2.2700061021429474,0.9745938431103854,0.3468677195842528,0.44520795756221143,1.227605558246277,True,
UGC11455,36,278.64146861311053,6.379943000343007,0.936473211220944,107.33009388129472,9.918967657533058,3.364970457484006,True,
UGC11557,12,84.5231018870898,3.939900862525448,1.1557658840931235,9.451955756845798,2.6625113741793385,2.3462036337457532,True,
UGC11820,10,100.64487898511372,10.623997067011617,0.43523298060857296,25.572520483459297,4.230929488708304,2.6821337754350614,True,
UGC11914,65,289.2210952978682,0.5321821343561473,0.7765063760489087,24.224085844648336,4.806875400232138,0.24603012806884927,True,
UGC12506    1,31,241.45540866466487,3.5496312451227916,0.5595347387652037,76.18112540952112,8.295104486045139,1.2166897840350437,True,
UGC12632,15,74.96809938121255,3.5434032469183094,0.7140257159523367,1.2278791165063734,0.9911121496607227,1.5311868140258231,True,
UGC12732,16,115.84134761721148,11.560567775953823,0.43989921569704243,5.311927643323606,2.077484346559663,2.961507971543689,True,
UGCA281,7,30.597050395149036,0.4821583855731809,0.9078989182497785,0.22613694059827918,0.3594733771968411,0.24923547985566463,True,
UGCA442,8,59.563317371006875,2.492969449648621,0.8663488662177463,2.2325741288861978,1.181253076420914,1.2485120592348586,True,
UGCA444,36,44.85410998600043,2.071214135035585,0.6948274259249622,0.8648459239334796,0.8903793743525039,0.8745090974952364,True,
